,Error,Rel. mCE,Gauss,Shot,Impulse,Defocus,Glass,Motion,Zoom,Snow,Frost,Fog,Bright,Contrast,Elastic,Pixel,JPEG
baseline_48-bit-scratch_60epochs,0.23871588706970215,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
push3_pull3_avg0_inhibition1,0.2636348605155945,0.877741277217865,0.7653460502624512,0.8169247508049011,0.707004964351654,0.8803930878639221,0.8918241858482361,0.9532532691955566,0.9187347292900085,0.8950864672660828,0.8618832230567932,0.9069888591766357,0.923678994178772,0.8957769870758057,0.9250880479812622,0.9174714684486389,0.9066663384437561
push3_pull3_avg0_inhibition2,0.24731183052062988,0.9353062510490417,0.8976746201515198,0.9306203126907349,0.815470278263092,0.938288688659668,0.9115228652954102,0.9639422297477722,0.9482636451721191,0.9475356936454773,0.9078755378723145,0.9337852001190186,0.968141496181488,0.9661643505096436,0.9587888121604919,0.97837233543396,0.9631475210189819
push3_pull3_avg0_inhibition3,0.25594085454940796,0.907511293888092,0.7796691656112671,0.8218108415603638,0.73846435546875,0.9499071836471558,0.913058340549469,1.0141091346740723,1.0009506940841675,0.91266268491745,0.8601680397987366,0.9266834259033203,0.9392328262329102,0.9082196950912476,0.9749961495399475,0.943476140499115,0.9292595386505127
push3_pull3_avg3_inhibition1,0.2780072093009949,0.8623237013816833,0.863048791885376,0.8693228960037231,0.8227126598358154,0.8488550186157227,0.9434379935264587,0.8495180010795593,0.8786017298698425,0.8521982431411743,0.9113891124725342,0.7848572731018066,0.8514949679374695,0.7852380871772766,0.8665801286697388,0.945456326007843,0.862144410610199
push3_pull3_avg3_inhibition2,0.3101668357849121,0.7678214907646179,0.8077349662780762,0.7912850379943848,0.7487145066261292,0.8263555765151978,0.9050086140632629,0.7953481078147888,0.8610385656356812,0.7308435440063477,0.7279263138771057,0.6485921740531921,0.7025988698005676,0.6014264225959778,0.7886890769004822,0.8315716981887817,0.7501897811889648
push3_pull3_avg3_inhibition3,0.3227642774581909,0.6917632818222046,0.8376445770263672,0.7791825532913208,0.8017393350601196,0.7342679500579834,0.8112283945083618,0.7018782496452332,0.740490734577179,0.6685487627983093,0.5941421389579773,0.4977011978626251,0.6406745910644531,0.40129780769348145,0.7033342123031616,0.7700178623199463,0.6943011283874512
push3_pull5_avg0_inhibition1,0.256622850894928,0.9344428777694702,0.8623371124267578,0.8909728527069092,0.8117789030075073,0.969573438167572,0.9603174328804016,0.993885338306427,0.9987801909446716,0.9271714687347412,0.9304038286209106,0.9290771484375,0.939731776714325,0.9195271134376526,0.9764019250869751,0.970496654510498,0.9361879825592041
push3_pull5_avg0_inhibition2,0.2550048828125,0.9138510227203369,0.8232274651527405,0.8585425615310669,0.7687968611717224,0.9094709157943726,0.9283542037010193,0.9455625414848328,0.9480028748512268,0.9252487421035767,0.9560348987579346,0.8961297273635864,0.9429749846458435,0.9180399179458618,0.9451003074645996,0.996242105960846,0.946037232875824
push3_pull5_avg0_inhibition3,0.2821693420410156,0.8342869281768799,0.8076647520065308,0.820664644241333,0.7552691102027893,0.8158973455429077,0.8709085583686829,0.8702718019485474,0.8532829284667969,0.8321048617362976,0.86296546459198,0.8282785415649414,0.8454297184944153,0.7750309109687805,0.8585496544837952,0.8782235980033875,0.8397608399391174
push3_pull5_avg3_inhibition1,0.28284740447998047,0.8235846161842346,0.7871809005737305,0.8127515316009521,0.7141982316970825,0.8508580327033997,0.920753002166748,0.8379323482513428,0.8614324927330017,0.8300775289535522,0.855999231338501,0.7482945322990417,0.8314259648323059,0.7168541550636292,0.8483919501304626,0.8892380595207214,0.8483807444572449
push3_pull5_avg3_inhibition2,0.2994990944862366,0.7824447154998779,0.7847373485565186,0.7922086715698242,0.7348026633262634,0.84574955701828,0.8931542038917542,0.8209900259971619,0.8576681017875671,0.7686765193939209,0.7220028042793274,0.6928334832191467,0.7360569834709167,0.6442268490791321,0.809056282043457,0.8477604389190674,0.7867459654808044
push3_pull5_avg3_inhibition3,0.32216376066207886,0.6728795170783997,0.7109631896018982,0.7074964642524719,0.6700119376182556,0.7289611101150513,0.7523292303085327,0.7092951536178589,0.7569348812103271,0.670153021812439,0.58316570520401,0.523492693901062,0.6471135020256042,0.4555896520614624,0.7060015797615051,0.7793503403663635,0.6923352479934692
push5_pull5_avg0_inhibition1,0.26506561040878296,0.8876744508743286,0.8445264101028442,0.8747531175613403,0.7961439490318298,0.8458783626556396,0.9111957550048828,0.8936901092529297,0.8885097503662109,0.9016782641410828,0.9395313262939453,0.8712116479873657,0.9126975536346436,0.8617861866950989,0.8992186784744263,0.9668211340904236,0.907474935054779
push5_pull5_avg0_inhibition2,0.25530123710632324,0.9109842777252197,0.9197203516960144,0.9182968735694885,0.9124399423599243,0.8653115034103394,0.925348699092865,0.8888778686523438,0.8954302668571472,0.9206917881965637,0.908416211605072,0.8869116306304932,0.9270225167274475,0.8889527916908264,0.9237672090530396,0.9540067911148071,0.9295702576637268
push5_pull5_avg0_inhibition3,0.2619289755821228,0.8893293738365173,0.7797831296920776,0.8443707823753357,0.7117501497268677,0.8787107467651367,0.9270780682563782,0.9474785327911377,0.9135499596595764,0.9123262763023376,0.9476965665817261,0.8761148452758789,0.9416511058807373,0.8915567398071289,0.9118308424949646,0.9560458660125732,0.8999967575073242
push5_pull5_avg3_inhibition1,0.2876982092857361,0.8311833143234253,0.9467514157295227,0.9043795466423035,0.9282033443450928,0.8034075498580933,0.8818089962005615,0.8401178121566772,0.8297646045684814,0.8004605174064636,0.8140425086021423,0.7016898393630981,0.7988945245742798,0.6776848435401917,0.8085655570030212,0.9170751571655273,0.814904510974884
push5_pull5_avg3_inhibition2,0.3005847930908203,0.79477858543396,0.9208834171295166,0.8608267307281494,0.9198521375656128,0.8262475728988647,0.8823791742324829,0.7911949753761292,0.8615936040878296,0.7631200551986694,0.7459316849708557,0.6191357970237732,0.7425251603126526,0.561909019947052,0.7937343716621399,0.8581801652908325,0.7741639614105225
push5_pull5_avg3_inhibition3,0.3314248323440552,0.6857358813285828,0.8495849967002869,0.7755967378616333,0.855161726474762,0.7319949865341187,0.7966252565383911,0.6811015009880066,0.7528888583183289,0.645485520362854,0.5733124017715454,0.4992887079715729,0.6097326278686523,0.41140076518058777,0.6865782141685486,0.7435150146484375,0.6737716794013977
