,Error,mCE,Gauss,Shot,Impulse,Defocus,Glass,Motion,Zoom,Snow,Frost,Fog,Bright,Contrast,Elastic,Pixel,JPEG
baseline_48-bit-scratch_60epochs,0.23800450563430786,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2layers_push3_pull3_avg0_inhibition0.5,0.26880234479904175,1.0967247486114502,1.2018694877624512,1.1874808073043823,1.150850772857666,1.0487552881240845,1.0732218027114868,1.0127816200256348,1.0305999517440796,1.1301432847976685,1.0960801839828491,1.108634352684021,1.1065073013305664,1.0698347091674805,1.0683372020721436,1.0455024242401123,1.1202714443206787
2layers_push3_pull3_avg0_inhibition1.0,0.2780058979988098,1.1093322038650513,1.222231388092041,1.2088606357574463,1.1806931495666504,1.0839403867721558,1.0603622198104858,1.000758409500122,1.0500556230545044,1.152812123298645,1.0892417430877686,1.0885920524597168,1.126347303390503,1.035049557685852,1.089281678199768,1.093098759651184,1.1586558818817139
2layers_push3_pull3_avg0_inhibition1.5,0.2783619165420532,1.1093676090240479,1.2205640077590942,1.212692379951477,1.181388258934021,1.082329273223877,1.075007438659668,1.0127718448638916,1.064681053161621,1.147344708442688,1.1019314527511597,1.114676833152771,1.1232794523239136,1.0400989055633545,1.080142617225647,1.0395469665527344,1.1440585851669312
2layers_push3_pull3_avg3_inhibition0.5,0.28899097442626953,1.1277631521224976,1.1591912508010864,1.164660096168518,1.1268631219863892,1.1260573863983154,1.039730191230774,1.063631296157837,1.0936200618743896,1.146199107170105,1.134678602218628,1.1905676126480103,1.1873571872711182,1.116148829460144,1.1309112310409546,1.0598610639572144,1.1769685745239258
2layers_push3_pull3_avg3_inhibition1.0,0.31783801317214966,1.1816821098327637,1.2064205408096313,1.2182824611663818,1.1967785358428955,1.1707828044891357,1.0020360946655273,1.1227208375930786,1.1139963865280151,1.2141355276107788,1.213570475578308,1.2700966596603394,1.3117104768753052,1.1445032358169556,1.1854645013809204,1.0923552513122559,1.2623748779296875
2layers_push3_pull3_avg3_inhibition1.5,0.32659947872161865,1.1769086122512817,1.1840754747390747,1.2054768800735474,1.1605995893478394,1.1676522493362427,0.968384325504303,1.1220488548278809,1.1083405017852783,1.1985957622528076,1.1902496814727783,1.277956247329712,1.32887601852417,1.158594012260437,1.1890597343444824,1.1159934997558594,1.2777280807495117
2layers_push3_pull5_avg0_inhibition0.5,0.30325496196746826,1.1703702211380005,1.276893138885498,1.252564549446106,1.2846862077713013,1.1494364738464355,1.0887223482131958,1.0771214962005615,1.1099568605422974,1.204912781715393,1.1253001689910889,1.1610182523727417,1.2160491943359375,1.0976042747497559,1.1405857801437378,1.1386451721191406,1.2320550680160522
2layers_push3_pull5_avg0_inhibition1.0,0.2893766760826111,1.1272491216659546,1.1585639715194702,1.1603925228118896,1.1510951519012451,1.1366819143295288,1.0292789936065674,1.0702849626541138,1.099334716796875,1.1476318836212158,1.1243813037872314,1.1642271280288696,1.191075086593628,1.1010271310806274,1.1267129182815552,1.0761879682540894,1.1718612909317017
2layers_push3_pull5_avg0_inhibition1.5,0.3103686571121216,1.1750775575637817,1.2423447370529175,1.2232170104980469,1.2366381883621216,1.1516543626785278,1.0645803213119507,1.0984522104263306,1.1055551767349243,1.1938812732696533,1.1753613948822021,1.1893552541732788,1.2769346237182617,1.1281837224960327,1.1462277173995972,1.1554946899414062,1.238282561302185
