,Error,Rel. mCE,Gauss,Shot,Impulse,Defocus,Glass,Motion,Zoom,Snow,Frost,Fog,Bright,Contrast,Elastic,Pixel,JPEG
baseline_48-bit-scratch_60epochs,0.23800450563430786,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2layers_push3_pull3_avg0_inhibition0.5,0.26880234479904175,0.8479685187339783,0.7806122303009033,0.811080813407898,0.7695134878158569,0.8939014077186584,0.8196166157722473,0.9083331823348999,0.8920966982841492,0.8374026417732239,0.8579463958740234,0.8326548933982849,0.8827534317970276,0.7822102308273315,0.8791783452033997,0.9001129269599915,0.8721156120300293
2layers_push3_pull3_avg0_inhibition1.0,0.2780058979988098,0.8194471597671509,0.7445713877677917,0.7772007584571838,0.7157773375511169,0.8470107913017273,0.8085007071495056,0.8962019681930542,0.850052535533905,0.8004335165023804,0.8419665694236755,0.827358603477478,0.8539848327636719,0.8066626191139221,0.8426856994628906,0.8467307090759277,0.8325691819190979
2layers_push3_pull3_avg0_inhibition1.5,0.2783619165420532,0.8167998790740967,0.7449906468391418,0.7739322185516357,0.7141550779342651,0.8473860621452332,0.7894202470779419,0.8837113976478577,0.8352431654930115,0.8035481572151184,0.8317028284072876,0.8042804002761841,0.8548775315284729,0.7973206043243408,0.8486297726631165,0.88300621509552,0.8397933840751648
2layers_push3_pull3_avg3_inhibition0.5,0.28899097442626953,0.7745210528373718,0.7660723328590393,0.7821925282478333,0.740527868270874,0.7909544110298157,0.8017404079437256,0.8073290586471558,0.7805387377738953,0.7804274559020996,0.7829837799072266,0.7138267755508423,0.8001272082328796,0.6385822892189026,0.786833643913269,0.8453419208526611,0.8003377914428711
2layers_push3_pull3_avg3_inhibition1.0,0.31783801317214966,0.6648339033126831,0.6653640270233154,0.684725821018219,0.5955735445022583,0.6922698616981506,0.7636824250221252,0.6760778427124023,0.6873435974121094,0.6667856574058533,0.6581950783729553,0.5760069489479065,0.6774477362632751,0.4942045509815216,0.6806554198265076,0.7587906718254089,0.6953850984573364
2layers_push3_pull3_avg3_inhibition1.5,0.32659947872161865,0.6485022306442261,0.6618783473968506,0.6740797758102417,0.6086017489433289,0.6746086478233337,0.7794703841209412,0.6541504263877869,0.6702938079833984,0.6581827402114868,0.6555001735687256,0.548024594783783,0.6509610414505005,0.4415392279624939,0.6579986810684204,0.7229727506637573,0.6692711710929871
2layers_push3_pull5_avg0_inhibition0.5,0.30325496196746826,0.7070444822311401,0.6465825438499451,0.6939957141876221,0.5463728904724121,0.7412271499633789,0.6996231079101562,0.7575806379318237,0.7285064458847046,0.706239640712738,0.7573093175888062,0.7043300271034241,0.7566158771514893,0.6195818781852722,0.7471223473548889,0.7591352462768555,0.7414442300796509
2layers_push3_pull5_avg0_inhibition1.0,0.2893766760826111,0.7748140692710876,0.765655517578125,0.7841373085975647,0.7154384851455688,0.7822498083114624,0.8134832382202148,0.7999255061149597,0.774121105670929,0.7785323858261108,0.7897681593894958,0.7353202104568481,0.7974122166633606,0.6615893840789795,0.7890570759773254,0.8331845998764038,0.8023361563682556
2layers_push3_pull5_avg0_inhibition1.5,0.3103686571121216,0.6865044236183167,0.6558709740638733,0.6977001428604126,0.5755069851875305,0.7233816385269165,0.7085241675376892,0.7187025547027588,0.7144823670387268,0.6981188058853149,0.7037468552589417,0.6629135608673096,0.71056067943573,0.5460314154624939,0.7267135381698608,0.7316755056381226,0.7236372232437134
2layers_push3_pull5_avg3_inhibition0.5,0.299305260181427,0.7403774261474609,0.7064632773399353,0.7339693307876587,0.636198878288269,0.7789114713668823,0.7622582316398621,0.7933984994888306,0.782075047492981,0.7424495816230774,0.7564204335212708,0.6943568587303162,0.7582694888114929,0.6294049620628357,0.771028995513916,0.7957435846328735,0.7647134065628052
2layers_push3_pull5_avg3_inhibition1.0,0.31785064935684204,0.6522197723388672,0.629569411277771,0.6542490124702454,0.5630007982254028,0.691234290599823,0.726703941822052,0.6882387399673462,0.6878931522369385,0.675272524356842,0.6675126552581787,0.5614681839942932,0.6840277910232544,0.45624402165412903,0.6820569038391113,0.7221300601959229,0.6936964988708496
2layers_push3_pull5_avg3_inhibition1.5,0.34446680545806885,0.5435479283332825,0.5691351294517517,0.5867259502410889,0.49806860089302063,0.5693947076797485,0.6365171074867249,0.5405105352401733,0.5531896948814392,0.5724547505378723,0.5427851676940918,0.4186154305934906,0.5767596364021301,0.30191636085510254,0.5641359686851501,0.6293773055076599,0.5936328172683716
2layers_push5_pull5_avg0_inhibition0.5,0.26085132360458374,0.8974951505661011,0.904446542263031,0.905321478843689,0.8873767256736755,0.8812212347984314,0.9085345268249512,0.8904515504837036,0.8842061161994934,0.9057474732398987,0.9140981435775757,0.8753193020820618,0.9199275374412537,0.8567685484886169,0.8914139270782471,0.9325369596481323,0.9050582051277161
2layers_push5_pull5_avg0_inhibition1.0,0.2735644578933716,0.8678826093673706,0.8642628192901611,0.8738194704055786,0.8313499093055725,0.8611323833465576,0.9127593636512756,0.863440752029419,0.8677545785903931,0.8767380118370056,0.8719636797904968,0.8751258850097656,0.8622250556945801,0.8497583866119385,0.8659973740577698,0.8779366612434387,0.8639744520187378
2layers_push5_pull5_avg0_inhibition1.5,0.2630290389060974,0.8937584757804871,0.9254013895988464,0.9229359030723572,0.9163044691085815,0.8644089102745056,0.9145535230636597,0.8867492079734802,0.8480638265609741,0.8988223671913147,0.9155607223510742,0.8510499596595764,0.9049322605133057,0.85875403881073,0.871275007724762,0.9379187226295471,0.8896458745002747
2layers_push5_pull5_avg3_inhibition0.5,0.2733476758003235,0.875527560710907,0.8743454813957214,0.8758843541145325,0.8479639291763306,0.8817949295043945,0.970537006855011,0.8834797739982605,0.8962426781654358,0.8638237118721008,0.873659074306488,0.8365985751152039,0.8657287359237671,0.7951201796531677,0.8799915909767151,0.9227992296218872,0.8649433851242065
2layers_push5_pull5_avg3_inhibition1.0,0.2871994972229004,0.8239009976387024,0.8555507659912109,0.8433877825737,0.8368837833404541,0.8284463286399841,0.9528070092201233,0.813054621219635,0.8386562466621399,0.8100570440292358,0.8051808476448059,0.756626307964325,0.8046092987060547,0.6744540929794312,0.8220399618148804,0.8938875794410706,0.8228729963302612
2layers_push5_pull5_avg3_inhibition1.5,0.30866706371307373,0.7567967176437378,0.7821879982948303,0.7662078142166138,0.7922442555427551,0.7813432812690735,0.8947991728782654,0.7872815728187561,0.798922598361969,0.7466054558753967,0.7556902766227722,0.6577984094619751,0.7365331649780273,0.5442692637443542,0.7572680711746216,0.8092995882034302,0.7414984107017517
